,ROC AUC,F1 Score,Sensitivity,Specificity,Balanced Accuracy
PCE,0.68 (0.64–0.72),0.64 (0.60–0.67),0.67 (0.63–0.72),0.59 (0.54–0.64),0.63 (0.60–0.67)
PCE + Self Reported Physical Activity,0.68 (0.64–0.72),0.64 (0.60–0.67),0.67 (0.62–0.72),0.60 (0.55–0.65),0.63 (0.60–0.67)
PCE + Accel,0.69 (0.65–0.72),0.63 (0.59–0.67),0.66 (0.61–0.71),0.61 (0.56–0.66),0.64 (0.60–0.67)
PCE + Accel Various,0.68 (0.64–0.72),0.64 (0.60–0.68),0.67 (0.62–0.72),0.60 (0.56–0.65),0.64 (0.60–0.67)
SCORE,0.64 (0.60–0.68),0.60 (0.56–0.64),0.62 (0.57–0.67),0.60 (0.55–0.64),0.61 (0.57–0.64)
SCORE + Self Reported Physical Activity,0.64 (0.60–0.68),0.60 (0.56–0.64),0.62 (0.57–0.67),0.60 (0.54–0.64),0.61 (0.57–0.64)
SCORE + Accel,0.64 (0.60–0.68),0.60 (0.56–0.64),0.61 (0.56–0.66),0.62 (0.57–0.67),0.61 (0.58–0.65)
SCORE + Accel Various,0.64 (0.60–0.68),0.59 (0.55–0.64),0.61 (0.56–0.66),0.59 (0.54–0.64),0.60 (0.56–0.63)
LE8,0.64 (0.60–0.68),0.58 (0.53–0.62),0.58 (0.52–0.63),0.61 (0.56–0.66),0.59 (0.55–0.63)
LE8 + Self Reported Physical Activity,0.64 (0.60–0.68),0.58 (0.54–0.62),0.59 (0.53–0.64),0.61 (0.56–0.66),0.60 (0.56–0.63)
LE8 + Accel,0.65 (0.60–0.69),0.61 (0.56–0.65),0.62 (0.57–0.67),0.62 (0.56–0.66),0.62 (0.58–0.65)
LE8 + Accel Various,0.64 (0.60–0.68),0.59 (0.55–0.63),0.60 (0.55–0.65),0.60 (0.54–0.65),0.60 (0.56–0.64)
Demographics,0.53 (0.49–0.57),0.35 (0.30–0.41),0.28 (0.23–0.32),0.74 (0.70–0.79),0.51 (0.48–0.54)
Demographics + Self Reported Physical Activity,0.54 (0.50–0.59),0.38 (0.33–0.43),0.31 (0.26–0.35),0.72 (0.68–0.77),0.52 (0.48–0.55)
Demographics + Accel,0.59 (0.55–0.63),0.56 (0.51–0.60),0.55 (0.49–0.60),0.62 (0.57–0.66),0.58 (0.55–0.62)
Demographics + Accel Various,0.59 (0.55–0.63),0.58 (0.53–0.62),0.62 (0.57–0.67),0.51 (0.46–0.56),0.57 (0.53–0.60)
SDOH,0.62 (0.58–0.66),0.56 (0.51–0.60),0.55 (0.50–0.60),0.60 (0.54–0.65),0.58 (0.54–0.61)
SDOH + Self Reported Physical Activity,0.62 (0.58–0.66),0.56 (0.51–0.60),0.55 (0.50–0.60),0.60 (0.54–0.65),0.58 (0.54–0.61)
SDOH + Accel,0.63 (0.59–0.67),0.55 (0.50–0.59),0.52 (0.46–0.57),0.65 (0.61–0.70),0.59 (0.55–0.62)
SDOH + Accel Various,0.62 (0.58–0.66),0.55 (0.50–0.59),0.54 (0.48–0.59),0.60 (0.55–0.65),0.57 (0.53–0.60)
Accel only,0.58 (0.53–0.62),0.55 (0.50–0.59),0.55 (0.50–0.60),0.57 (0.52–0.62),0.56 (0.53–0.60)
Accel Various only,0.58 (0.54–0.62),0.58 (0.53–0.62),0.65 (0.60–0.70),0.45 (0.40–0.50),0.55 (0.52–0.59)
