Comparison,ΔAUC,ΔAUC 95% CI,Base AUC,With Accel AUC
ΔAUC((PCE + Self Reported Physical Activity) − (PCE)),0.0001,"[np.float64(-0.07688309041801633), np.float64(0.0771128319133586)]",0.6832,0.6833
ΔAUC((PCE + Accel) − (PCE)),0.0074,"[np.float64(-0.06901080113916447), np.float64(0.0842440175870588)]",0.6832,0.6906
ΔAUC((PCE + Accel Various) − (PCE)),0.0048,"[np.float64(-0.07133084326226657), np.float64(0.08191925521201293)]",0.6832,0.688
ΔAUC((SCORE + Self Reported Physical Activity) − (SCORE)),-0.0002,"[np.float64(-0.08498390753594565), np.float64(0.08288111571669077)]",0.6314,0.6312
ΔAUC((SCORE + Accel) − (SCORE)),0.0137,"[np.float64(-0.07065669758095239), np.float64(0.09560704412055987)]",0.6314,0.645
ΔAUC((SCORE + Accel Various) − (SCORE)),0.0106,"[np.float64(-0.07345560242966997), np.float64(0.09429589693758744)]",0.6314,0.642
ΔAUC((LE8 + Self Reported Physical Activity) − (LE8)),-0.0007,"[np.float64(-0.08057737851772628), np.float64(0.07965158553946117)]",0.6359,0.6352
ΔAUC((LE8 + Accel) − (LE8)),0.0073,"[np.float64(-0.07233279901401346), np.float64(0.08752025992452273)]",0.6359,0.6432
ΔAUC((LE8 + Accel Various) − (LE8)),0.0031,"[np.float64(-0.07760880693673644), np.float64(0.08344717429418169)]",0.6359,0.6389
ΔAUC((Demographics + Self Reported Physical Activity) − (Demographics)),0.0136,"[np.float64(-0.07244281897050853), np.float64(0.09811665469287928)]",0.532,0.5457
ΔAUC((Demographics + Accel) − (Demographics)),0.0714,"[np.float64(-0.011767989879757468), np.float64(0.15513867314675284)]",0.532,0.6035
ΔAUC((Demographics + Accel Various) − (Demographics)),0.0817,"[np.float64(-0.0025202096507442873), np.float64(0.1656099120235333)]",0.532,0.6138
ΔAUC((SDOH + Self Reported Physical Activity) − (SDOH)),-0.0001,"[np.float64(-0.08343030469232027), np.float64(0.08263860790816235)]",0.6214,0.6213
ΔAUC((SDOH + Accel) − (SDOH)),0.0133,"[np.float64(-0.06662707656365141), np.float64(0.09679072643110243)]",0.6214,0.6347
ΔAUC((SDOH + Accel Various) − (SDOH)),0.0065,"[np.float64(-0.07377831685129632), np.float64(0.08938671077240357)]",0.6214,0.6279
ΔAUC((PCE_Clinic_Free + Self Reported Physical Activity) − (PCE_Clinic_Free)),-0.0,"[np.float64(-0.08092278533412278), np.float64(0.07951795775164794)]",0.5691,0.5691
ΔAUC((PCE_Clinic_Free + Accel) − (PCE_Clinic_Free)),0.0375,"[np.float64(-0.046644913938836075), np.float64(0.11761629295742637)]",0.5691,0.6066
ΔAUC((PCE_Clinic_Free + Accel Various) − (PCE_Clinic_Free)),0.0287,"[np.float64(-0.05130278498549712), np.float64(0.10991198944403446)]",0.5691,0.5978
ΔAUC((SCORE_Clinic_Free + Self Reported Physical Activity) − (SCORE_Clinic_Free)),0.0056,"[np.float64(-0.07449786225764743), np.float64(0.08726958306410915)]",0.5505,0.5561
ΔAUC((SCORE_Clinic_Free + Accel) − (SCORE_Clinic_Free)),0.0444,"[np.float64(-0.03629133252239547), np.float64(0.1273925464198159)]",0.5505,0.5949
ΔAUC((SCORE_Clinic_Free + Accel Various) − (SCORE_Clinic_Free)),0.0333,"[np.float64(-0.04754596052757798), np.float64(0.1170036911196013)]",0.5505,0.5838
ΔAUC((LE8_Clinic_Free + Self Reported Physical Activity) − (LE8_Clinic_Free)),-0.003,"[np.float64(-0.08938087626799851), np.float64(0.08044542642059571)]",0.5541,0.551
ΔAUC((LE8_Clinic_Free + Accel) − (LE8_Clinic_Free)),0.0302,"[np.float64(-0.05698653993545588), np.float64(0.11398120149982371)]",0.5541,0.5842
ΔAUC((LE8_Clinic_Free + Accel Various) − (LE8_Clinic_Free)),0.0191,"[np.float64(-0.06968354428416712), np.float64(0.10382130629692488)]",0.5541,0.5732
ΔAUC((PCE_Reasonable_Clinic_Free + Self Reported Physical Activity) − (PCE_Reasonable_Clinic_Free)),0.0004,"[np.float64(-0.08274203979068961), np.float64(0.08513333152008906)]",0.5675,0.5679
ΔAUC((PCE_Reasonable_Clinic_Free + Accel) − (PCE_Reasonable_Clinic_Free)),0.0294,"[np.float64(-0.05330364293885104), np.float64(0.1126485331477296)]",0.5675,0.5969
ΔAUC((PCE_Reasonable_Clinic_Free + Accel Various) − (PCE_Reasonable_Clinic_Free)),0.0196,"[np.float64(-0.061535679700130075), np.float64(0.1047366110201492)]",0.5675,0.5871
ΔAUC((SCORE_Reasonable_Clinic_Free + Self Reported Physical Activity) − (SCORE_Reasonable_Clinic_Free)),0.0015,"[np.float64(-0.08027095779909355), np.float64(0.08294847572802255)]",0.5541,0.5556
ΔAUC((SCORE_Reasonable_Clinic_Free + Accel) − (SCORE_Reasonable_Clinic_Free)),0.0277,"[np.float64(-0.05362017985731504), np.float64(0.10916647026952431)]",0.5541,0.5818
ΔAUC((SCORE_Reasonable_Clinic_Free + Accel Various) − (SCORE_Reasonable_Clinic_Free)),0.0193,"[np.float64(-0.061401193061298986), np.float64(0.10131412007688911)]",0.5541,0.5734
ΔAUC((LE8_Reasonable_Clinic_Free + Self Reported Physical Activity) − (LE8_Reasonable_Clinic_Free)),-0.0011,"[np.float64(-0.08582286196453681), np.float64(0.08318590310832696)]",0.5636,0.5625
ΔAUC((LE8_Reasonable_Clinic_Free + Accel) − (LE8_Reasonable_Clinic_Free)),0.02,"[np.float64(-0.06408696273972836), np.float64(0.10330641019709164)]",0.5636,0.5836
ΔAUC((LE8_Reasonable_Clinic_Free + Accel Various) − (LE8_Reasonable_Clinic_Free)),0.0136,"[np.float64(-0.07159541821199644), np.float64(0.09729092867773492)]",0.5636,0.5772
